bibtex_authors;author;year;title;bibtex_key;mentioned_group;mentioned_factor;mentioned_metric;static_and_demand_oriented;core_aspect;arg_code_1;arg_code_2;arg_code_3
Jord{\'a}n, Jaume and Palanca, Javier and {del Val}, Elena and Julian, Vicente and Botti, Vicente;Jord{\'a}n et al.;2018;A Multi-Agent System for the Dynamic Emplacement of Electric Vehicle Charging Stations;Jordan.2018;;population in area;;1;Residential Population;AcHo;;
Jord{\'a}n, Jaume and Palanca, Javier and {del Val}, Elena and Julian, Vicente and Botti, Vicente;Jord{\'a}n et al.;2018;A Multi-Agent System for the Dynamic Emplacement of Electric Vehicle Charging Stations;Jordan.2018;;average traffic in area;;1;Traffic Flow;Ac;QuAt;
Jord{\'a}n, Jaume and Palanca, Javier and {del Val}, Elena and Julian, Vicente and Botti, Vicente;Jord{\'a}n et al.;2018;A Multi-Agent System for the Dynamic Emplacement of Electric Vehicle Charging Stations;Jordan.2018;;average time spent in area by citizens;;1;Dwell Characteristics;Ac;;
Jord{\'a}n, Jaume and Palanca, Javier and {del Val}, Elena and Julian, Vicente and Botti, Vicente;Jord{\'a}n et al.;2018;A Multi-Agent System for the Dynamic Emplacement of Electric Vehicle Charging Stations;Jordan.2018;;geo-located social network activity;;0;;Ac;;
Kindl, Annette and Luchman, Inga and Szabo, Nora and Walther, Christoph;Kindl et al.;2015;SIMONE: Bedarfsorientiertes Verfahren zur Planung von Ladeinfrastruktur;Kindl.2015;;relevance of public transportation;multivariate definition;1;Connectivity to public transport;AcPT;;
Kindl, Annette and Luchman, Inga and Szabo, Nora and Walther, Christoph;Kindl et al.;2015;SIMONE: Bedarfsorientiertes Verfahren zur Planung von Ladeinfrastruktur;Kindl.2015;;public parking demand;multivariate definition;1;Parking Situation;QuAt;Ac;
Kindl, Annette and Luchman, Inga and Szabo, Nora and Walther, Christoph;Kindl et al.;2015;SIMONE: Bedarfsorientiertes Verfahren zur Planung von Ladeinfrastruktur;Kindl.2015;;availability of parking space;;1;Parking Situation;QuAt;Ac;
Kindl, Annette and Luchman, Inga and Szabo, Nora and Walther, Christoph;Kindl et al.;2015;SIMONE: Bedarfsorientiertes Verfahren zur Planung von Ladeinfrastruktur;Kindl.2015;;safety and ease of use ;;1;Safety;QuAt;;
Kindl, Annette and Luchman, Inga and Szabo, Nora and Walther, Christoph;Kindl et al.;2015;SIMONE: Bedarfsorientiertes Verfahren zur Planung von Ladeinfrastruktur;Kindl.2015;;accessibility;;1;Accessibility;QuRe;;
Kindl, Annette and Luchman, Inga and Szabo, Nora and Walther, Christoph;Kindl et al.;2015;SIMONE: Bedarfsorientiertes Verfahren zur Planung von Ladeinfrastruktur;Kindl.2015;;POI quality of stay;;1;POI;AcPOI;;
Kindl, Annette and Luchman, Inga and Szabo, Nora and Walther, Christoph;Kindl et al.;2015;SIMONE: Bedarfsorientiertes Verfahren zur Planung von Ladeinfrastruktur;Kindl.2015;;number of parking lots;;1;Parking Situation;QuAt;Ac;
Kindl, Annette and Luchman, Inga and Szabo, Nora and Walther, Christoph;Kindl et al.;2015;SIMONE: Bedarfsorientiertes Verfahren zur Planung von Ladeinfrastruktur;Kindl.2015;;visibility;;1;Visibility;QuAt;;
Kindl, Annette and Luchman, Inga and Szabo, Nora and Walther, Christoph;Kindl et al.;2015;SIMONE: Bedarfsorientiertes Verfahren zur Planung von Ladeinfrastruktur;Kindl.2015;;traffic volume relevant for charging;multivariate definition;1;Traffic Flow;Ac;;
Kindl, Annette and Luchman, Inga and Szabo, Nora and Walther, Christoph;Kindl et al.;2015;SIMONE: Bedarfsorientiertes Verfahren zur Planung von Ladeinfrastruktur;Kindl.2015;;traffic volume of early adopters;multivariate definition;1;Traffic Flow;Ac;;
Lam, Albert Y. S. and Leung, Yiu-Wing and Chu, Xiaowen;Lam et al.;2014;Electric Vehicle Charging Station Placement: Formulation, Complexity, and Solutions;Lam.2014;;coverage;maximum distance between charging stations within range of EV;1;Coverage;AvCo;QuRed;
Lam, Albert Y. S. and Leung, Yiu-Wing and Chu, Xiaowen;Lam et al.;2014;Electric Vehicle Charging Station Placement: Formulation, Complexity, and Solutions;Lam.2014;;number of BEV;population in area * BEV penetration rate;1;Residential Population;AcHo;;
Liu, Chen and Deng, Ke and Li, Chaojie and Li, Jianxin and Li, Yanhua and Luo, Jun;Liu et al.;2016;The Optimal Distribution of Electric-Vehicle Chargers across a City;Liu.2016;charging demand;demand distribution of petroleum taxis;;0;;Ac;;
Liu, Chen and Deng, Ke and Li, Chaojie and Li, Jianxin and Li, Yanhua and Luo, Jun;Liu et al.;2016;The Optimal Distribution of Electric-Vehicle Chargers across a City;Liu.2016;driver discomfort;average seeking time;time to pass three petroleum stations;0;;AvCo;;
Liu, Chen and Deng, Ke and Li, Chaojie and Li, Jianxin and Li, Yanhua and Luo, Jun;Liu et al.;2016;The Optimal Distribution of Electric-Vehicle Chargers across a City;Liu.2016;;average parking time;average parking time depending on POI;0;;AcDaPo;;
Liu, Chen and Deng, Ke and Li, Chaojie and Li, Jianxin and Li, Yanhua and Luo, Jun;Liu et al.;2016;The Optimal Distribution of Electric-Vehicle Chargers across a City;Liu.2016;;average queuing time;;0;;QuAt;;
Liu, Chen and Deng, Ke and Li, Chaojie and Li, Jianxin and Li, Yanhua and Luo, Jun;Liu et al.;2016;The Optimal Distribution of Electric-Vehicle Chargers across a City;Liu.2016;;charging rate;average real estate price;0;;QuAt;;
Liu, Chen and Deng, Ke and Li, Chaojie and Li, Jianxin and Li, Yanhua and Luo, Jun;Liu et al.;2016;The Optimal Distribution of Electric-Vehicle Chargers across a City;Liu.2016;revenue;;;0;;;;
Luo, Lizi and Gu, Wei and Zhou, Suyang and Huang, He and Gao, Song and Han, Jun and Wu, Zhi and Dou, Xiaobo;Luo et al.;2018;Optimal planning of electric vehicle charging stations comprising multi-types of charging facilities;Luo.2018;;land use type ;;1;Land Use;Ac;QuAt;
Maase, Simone and Dilrosun, Xiomara and Kooi, Martijn and {van den Hoed}, Robert;Maase et al.;2018;Performance of Electric Vehicle Charging Infrastructure: Development of an Assessment Platform Based on Charging Data;Maase.2018;parking pressure;charging post usage;;1;Parking Situation;QuAt;Ac;
Maase, Simone and Dilrosun, Xiomara and Kooi, Martijn and {van den Hoed}, Robert;Maase et al.;2018;Performance of Electric Vehicle Charging Infrastructure: Development of an Assessment Platform Based on Charging Data;Maase.2018;sustainability goals;total travel time;kWh charged;0;;;;
Maase, Simone and Dilrosun, Xiomara and Kooi, Martijn and {van den Hoed}, Robert;Maase et al.;2018;Performance of Electric Vehicle Charging Infrastructure: Development of an Assessment Platform Based on Charging Data;Maase.2018;;charging post usage;kWh charged;0;;;;
Maase, Simone and Dilrosun, Xiomara and Kooi, Martijn and {van den Hoed}, Robert;Maase et al.;2018;Performance of Electric Vehicle Charging Infrastructure: Development of an Assessment Platform Based on Charging Data;Maase.2018;;access cost;kWh charged;0;;AvCo;;
Maase, Simone and Dilrosun, Xiomara and Kooi, Martijn and {van den Hoed}, Robert;Maase et al.;2018;Performance of Electric Vehicle Charging Infrastructure: Development of an Assessment Platform Based on Charging Data;Maase.2018;;trip failure;number of sessions;0;;AvCo;;
Maase, Simone and Dilrosun, Xiomara and Kooi, Martijn and {van den Hoed}, Robert;Maase et al.;2018;Performance of Electric Vehicle Charging Infrastructure: Development of an Assessment Platform Based on Charging Data;Maase.2018;utilization;demand coverage;average occupancy;0;;;;
Maase, Simone and Dilrosun, Xiomara and Kooi, Martijn and {van den Hoed}, Robert;Maase et al.;2018;Performance of Electric Vehicle Charging Infrastructure: Development of an Assessment Platform Based on Charging Data;Maase.2018;;demand coverage;24h occupancy;0;;;;
Maase, Simone and Dilrosun, Xiomara and Kooi, Martijn and {van den Hoed}, Robert;Maase et al.;2018;Performance of Electric Vehicle Charging Infrastructure: Development of an Assessment Platform Based on Charging Data;Maase.2018;positive business case;cost;;0;;;;
Maase, Simone and Dilrosun, Xiomara and Kooi, Martijn and {van den Hoed}, Robert;Maase et al.;2018;Performance of Electric Vehicle Charging Infrastructure: Development of an Assessment Platform Based on Charging Data;Maase.2018;grid quality;electric load equalization;;0;;;;
Maase, Simone and Dilrosun, Xiomara and Kooi, Martijn and {van den Hoed}, Robert;Maase et al.;2018;Performance of Electric Vehicle Charging Infrastructure: Development of an Assessment Platform Based on Charging Data;Maase.2018;;network cost;;0;;;;
Maase, Simone and Dilrosun, Xiomara and Kooi, Martijn and {van den Hoed}, Robert;Maase et al.;2018;Performance of Electric Vehicle Charging Infrastructure: Development of an Assessment Platform Based on Charging Data;Maase.2018;electric vehicle stimulation;flow captured;number of unique users;1;Traffic Flow;Ac;;
Namdeo, A. and Tiwary, A. and Dziurla, R.;Namdeo et al.;2014;Spatial planning of public charging points using multi-dimensional analysis of early adopters of electric vehicles for a city region;Namdeo.2014;;residential location of early adopters;;1;Residential Population;AcHo;;
Namdeo, A. and Tiwary, A. and Dziurla, R.;Namdeo et al.;2014;Spatial planning of public charging points using multi-dimensional analysis of early adopters of electric vehicles for a city region;Namdeo.2014;;car commuter destinations;;1;Working Population;AcWo;;
Namdeo, A. and Tiwary, A. and Dziurla, R.;Namdeo et al.;2014;Spatial planning of public charging points using multi-dimensional analysis of early adopters of electric vehicles for a city region;Namdeo.2014;;park&ride locations;;1;Connectivity to public transport;AcPT;;
Namdeo, A. and Tiwary, A. and Dziurla, R.;Namdeo et al.;2014;Spatial planning of public charging points using multi-dimensional analysis of early adopters of electric vehicles for a city region;Namdeo.2014;;regional centers;;1;Centrality;AcPOI;QuAt;QuRe
Niels, Tanja and Gerstenberger, Marcus and Bogenberger, Klaus and Hessel, Christoph and Gigl, Andrea and Wagner, Katrin;Niels et al.;2019;Model-based optimization of public charging infrastructure planning in rural areas;Niels.2019;;POI;attractivity index;1;POI;AcPOI;QuAt;
Niels, Tanja and Gerstenberger, Marcus and Bogenberger, Klaus and Hessel, Christoph and Gigl, Andrea and Wagner, Katrin;Niels et al.;2019;Model-based optimization of public charging infrastructure planning in rural areas;Niels.2019;;home places;number of inhabitants;1;Residential Population;AcHo;;
Niels, Tanja and Gerstenberger, Marcus and Bogenberger, Klaus and Hessel, Christoph and Gigl, Andrea and Wagner, Katrin;Niels et al.;2019;Model-based optimization of public charging infrastructure planning in rural areas;Niels.2019;;hotels;;1;POI;AcPOI;;
Niels, Tanja and Gerstenberger, Marcus and Bogenberger, Klaus and Hessel, Christoph and Gigl, Andrea and Wagner, Katrin;Niels et al.;2019;Model-based optimization of public charging infrastructure planning in rural areas;Niels.2019;;places of employment;number of employees;1;Working Population;AcWo;;
{NOW GmbH};NOW GmbH;2022;"Tank- und Ladeinfrastruktur - {\""O}ffentlicher Bereich - Kommunen - Standortkriterien";NOWGmbH.2022;;position within main road network;;1;Centrality;QuRe;QuAt;AcPOI
{NOW GmbH};NOW GmbH;2022;"Tank- und Ladeinfrastruktur - {\""O}ffentlicher Bereich - Kommunen - Standortkriterien";NOWGmbH.2022;;availability of parking space;;1;Parking Situation;QuAt;Ac;
{NOW GmbH};NOW GmbH;2022;"Tank- und Ladeinfrastruktur - {\""O}ffentlicher Bereich - Kommunen - Standortkriterien";NOWGmbH.2022;;safety and ease of use ;;1;Safety;QuAt;;
{NOW GmbH};NOW GmbH;2022;"Tank- und Ladeinfrastruktur - {\""O}ffentlicher Bereich - Kommunen - Standortkriterien";NOWGmbH.2022;;accessibility;;1;Accessibility;QuRe;;
{NOW GmbH};NOW GmbH;2022;"Tank- und Ladeinfrastruktur - {\""O}ffentlicher Bereich - Kommunen - Standortkriterien";NOWGmbH.2022;;traffic frequency of individual mobility / private cars;;1;Traffic Flow;Ac;QuAt;
{NOW GmbH};NOW GmbH;2022;"Tank- und Ladeinfrastruktur - {\""O}ffentlicher Bereich - Kommunen - Standortkriterien";NOWGmbH.2022;;dwell time relevant for charging;;1;Dwell Characteristics;Ac;;
{NOW GmbH};NOW GmbH;2022;"Tank- und Ladeinfrastruktur - {\""O}ffentlicher Bereich - Kommunen - Standortkriterien";NOWGmbH.2022;;connection to public transport;;1;Connectivity to public transport;AcPT;;
{NOW GmbH};NOW GmbH;2022;"Tank- und Ladeinfrastruktur - {\""O}ffentlicher Bereich - Kommunen - Standortkriterien";NOWGmbH.2022;;number of parking lots;;1;Parking Situation;QuAt;Ac;
{NOW GmbH};NOW GmbH;2022;"Tank- und Ladeinfrastruktur - {\""O}ffentlicher Bereich - Kommunen - Standortkriterien";NOWGmbH.2022;;visibility;;1;Visibility;QuAt;;
Pagani, M. and Korosec, W. and Chokani, N. and Abhari, R. S.;Pagani et al.;2019;User behaviour and electric vehicle charging infrastructure: An agent-based model assessment;Pagani.2019;;charging demand at destination;;0;;;;
Pagani, M. and Korosec, W. and Chokani, N. and Abhari, R. S.;Pagani et al.;2019;User behaviour and electric vehicle charging infrastructure: An agent-based model assessment;Pagani.2019;;residential dwelling type;;1;Residential Population;AcHo;;
Pagani, M. and Korosec, W. and Chokani, N. and Abhari, R. S.;Pagani et al.;2019;User behaviour and electric vehicle charging infrastructure: An agent-based model assessment;Pagani.2019;;availability of low voltage transformer;;0;;;;
Pagani, M. and Korosec, W. and Chokani, N. and Abhari, R. S.;Pagani et al.;2019;User behaviour and electric vehicle charging infrastructure: An agent-based model assessment;Pagani.2019;;share of residential BEV;;1;Residential Population;AcHo;;
Pagany, Raphaela and Marquardt, Anna and Zink, Roland;Pagany et al.;2019;Electric Charging Demand Location Model---A User- and Destination-Based Locating Approach for Electric Vehicle Charging Stations;Pagany.2019b;;destinations (POI);;1;POI;AcPOI;;
Pagany, Raphaela and Marquardt, Anna and Zink, Roland;Pagany et al.;2019;Electric Charging Demand Location Model---A User- and Destination-Based Locating Approach for Electric Vehicle Charging Stations;Pagany.2019b;;dwell time;;1;Dwell Characteristics;AcPOI;;
Pagany, Raphaela and Marquardt, Anna and Zink, Roland;Pagany et al.;2019;Electric Charging Demand Location Model---A User- and Destination-Based Locating Approach for Electric Vehicle Charging Stations;Pagany.2019b;;visiting frequency;;1;Dwell Characteristics;AcPOI;;
Pagany, Raphaela and Marquardt, Anna and Zink, Roland;Pagany et al.;2019;Electric Charging Demand Location Model---A User- and Destination-Based Locating Approach for Electric Vehicle Charging Stations;Pagany.2019b;;walking distance;;1;Coverage;AvCo;AcPOI;
Pagany, Raphaela and {Ramirez Camargo}, Luis and Dorner, Wolfgang;Pagany et al.;2019;A review of spatial localization methodologies for the electric vehicle charging infrastructure;Pagany.2019;user/destination orientation;demand density;;0;;;;
Pagany, Raphaela and {Ramirez Camargo}, Luis and Dorner, Wolfgang;Pagany et al.;2019;A review of spatial localization methodologies for the electric vehicle charging infrastructure;Pagany.2019;route orientation;trip length;;0;;;;
Pagany, Raphaela and {Ramirez Camargo}, Luis and Dorner, Wolfgang;Pagany et al.;2019;A review of spatial localization methodologies for the electric vehicle charging infrastructure;Pagany.2019;;travel time;;0;;;;
Pagany, Raphaela and {Ramirez Camargo}, Luis and Dorner, Wolfgang;Pagany et al.;2019;A review of spatial localization methodologies for the electric vehicle charging infrastructure;Pagany.2019;;queuing;;0;;QuAt;;
Pagany, Raphaela and {Ramirez Camargo}, Luis and Dorner, Wolfgang;Pagany et al.;2019;A review of spatial localization methodologies for the electric vehicle charging infrastructure;Pagany.2019;;BEV range;;0;;AvCo;;
Pagany, Raphaela and {Ramirez Camargo}, Luis and Dorner, Wolfgang;Pagany et al.;2019;A review of spatial localization methodologies for the electric vehicle charging infrastructure;Pagany.2019;;finance cost;;0;;;;
Pagany, Raphaela and {Ramirez Camargo}, Luis and Dorner, Wolfgang;Pagany et al.;2019;A review of spatial localization methodologies for the electric vehicle charging infrastructure;Pagany.2019;;distance user - charging station;;0;;AvCo;;
Pagany, Raphaela and {Ramirez Camargo}, Luis and Dorner, Wolfgang;Pagany et al.;2019;A review of spatial localization methodologies for the electric vehicle charging infrastructure;Pagany.2019;;distance destination - charging station;;1;Coverage;AvCo;;
Pagany, Raphaela and {Ramirez Camargo}, Luis and Dorner, Wolfgang;Pagany et al.;2019;A review of spatial localization methodologies for the electric vehicle charging infrastructure;Pagany.2019;;dwell time ;;1;Dwell Characteristics;Ac;;
Pagany, Raphaela and {Ramirez Camargo}, Luis and Dorner, Wolfgang;Pagany et al.;2019;A review of spatial localization methodologies for the electric vehicle charging infrastructure;Pagany.2019;;traffic density;;1;Traffic Flow;Ac;;
Pagany, Raphaela and {Ramirez Camargo}, Luis and Dorner, Wolfgang;Pagany et al.;2019;A review of spatial localization methodologies for the electric vehicle charging infrastructure;Pagany.2019;other;charging station range;;1;Coverage;AvCo;;
Pallonetto, Fabiano and Galvani, Marta and Torti, Agostino and Vantini, Simone;Pallonetto et al.;2020;A Framework for Analysis and Expansion of Public Charging Infrastructure under Fast Penetration of Electric Vehicles;Pallonetto.2020;;presence of shopping centers and commercial areas;;1;POI;AcPOI;QuAt;
Pevec, Dario and Babic, Jurica and Kayser, Martin A. and Carvalho, Arthur and Ghiassi-Farrokhfal, Yashar and Podobnik, Vedran;Pevec et al.;2018;A data-driven statistical approach for extending electric vehicle charging infrastructure;Pevec.2018;;existing charging infrastructure;sum of other charging points in 500m radius;1;Other CIS;AvCo;QuRed;
Pevec, Dario and Babic, Jurica and Kayser, Martin A. and Carvalho, Arthur and Ghiassi-Farrokhfal, Yashar and Podobnik, Vedran;Pevec et al.;2018;A data-driven statistical approach for extending electric vehicle charging infrastructure;Pevec.2018;;POI;sum of POI in 500m radius;1;POI;AcPOI;;
Philipsen, R. and Schmidt, T. and {van Heek}, J. and Ziefle, M.;Phillipsen et al.;2016;Fast-charging station here, please! User criteria for electric vehicle fast-charging locations;Philipsen.2016;;reliability;;0;;QuAt;;
Philipsen, R. and Schmidt, T. and {van Heek}, J. and Ziefle, M.;Phillipsen et al.;2016;Fast-charging station here, please! User criteria for electric vehicle fast-charging locations;Philipsen.2016;;dual use;;1;POI;AcPOI;;
Philipsen, R. and Schmidt, T. and {van Heek}, J. and Ziefle, M.;Phillipsen et al.;2016;Fast-charging station here, please! User criteria for electric vehicle fast-charging locations;Philipsen.2016;;accessibility;;1;Accessibility;QuRe;;
Philipsen, R. and Schmidt, T. and {van Heek}, J. and Ziefle, M.;Phillipsen et al.;2016;Fast-charging station here, please! User criteria for electric vehicle fast-charging locations;Philipsen.2016;;safety for me ;;1;Safety;QuAt;;
Philipsen, R. and Schmidt, T. and {van Heek}, J. and Ziefle, M.;Phillipsen et al.;2016;Fast-charging station here, please! User criteria for electric vehicle fast-charging locations;Philipsen.2016;;safety for my car;;1;Safety;QuAt;;
Philipsen, R. and Schmidt, T. and {van Heek}, J. and Ziefle, M.;Phillipsen et al.;2016;Fast-charging station here, please! User criteria for electric vehicle fast-charging locations;Philipsen.2016;;habit compatibility;;0;;Ac;;
Raposo, Jo{\~a}o and Rodrigues, Ana and Silva, Carlos and Dentinho, Tomaz;Raposo et al.;2015;A multi-criteria decision aid methodology to design electric vehicles public charging networks;Raposo.2015;;parking spaces;number of cars parked during day/night at thoroughfare parking and in parking lots;1;Parking Situation;QuAt;Ac;
Raposo, Jo{\~a}o and Rodrigues, Ana and Silva, Carlos and Dentinho, Tomaz;Raposo et al.;2015;A multi-criteria decision aid methodology to design electric vehicles public charging networks;Raposo.2015;;residents;number of registered residents;1;Residential Population;AcHo;;
Raposo, Jo{\~a}o and Rodrigues, Ana and Silva, Carlos and Dentinho, Tomaz;Raposo et al.;2015;A multi-criteria decision aid methodology to design electric vehicles public charging networks;Raposo.2015;;area characterization;;1;Land Use;Ac;QuAt;
Shirmohammadli, A. and Vall{\'e}e, D.;Shirmohammadly, Vall{\'e}e;2017;Developing a location model for fast charging infrastructure in urban areas;Shirmohammadli.2017;;parking lot availability;;1;Parking Situation;QuAt;Ac;
Shirmohammadli, A. and Vall{\'e}e, D.;Shirmohammadly, Vall{\'e}e;2017;Developing a location model for fast charging infrastructure in urban areas;Shirmohammadli.2017;;existing charging infrastructure ;;1;Other CIS;AvCo;QuRed;
{Stadt Hamburg};Stadt Hamburg;2014;Masterplan Ladeinfrastruktur;StadtHamburg.2014;;reachability;;1;Surrounding Street Network;QuRe;;
{Stadt Hamburg};Stadt Hamburg;2014;Masterplan Ladeinfrastruktur;StadtHamburg.2014;;visibility;;1;Visibility;QuAt;;
{Stadt Hamburg};Stadt Hamburg;2014;Masterplan Ladeinfrastruktur;StadtHamburg.2014;;accessibility;;1;Accessibility;QuRe;;
{Stadt Hamburg};Stadt Hamburg;2014;Masterplan Ladeinfrastruktur;StadtHamburg.2014;;attractiveness;;0;;QuAt;;
{Stadt Hamburg};Stadt Hamburg;2014;Masterplan Ladeinfrastruktur;StadtHamburg.2014;;centrality;;1;Centrality;QuAt;QuRe;AcPOI
{Stadt Hamburg};Stadt Hamburg;2014;Masterplan Ladeinfrastruktur;StadtHamburg.2014;;connectivity to public transport;;1;Connectivity to public transport;AcPT;QuRe;
{Stadt Hamburg};Stadt Hamburg;2014;Masterplan Ladeinfrastruktur;StadtHamburg.2014;;parking pressure;;1;Parking Situation;QuAt;Ac;
Straka, Milan and Buzna, L'ubo{\v{s}};Straka, Buzna;2019;Preprocessing of GIS data for electric vehicle charging stations analysis and evaluation of the predictors significance;Straka.2019;;number of business services;;1;POI;AcPOI;QuAt;
Straka, Milan and Buzna, L'ubo{\v{s}};Straka, Buzna;2019;Preprocessing of GIS data for electric vehicle charging stations analysis and evaluation of the predictors significance;Straka.2019;;number of culture, recreation and other services;;1;POI;AcPOI;QuAt;
Straka, Milan and Buzna, L'ubo{\v{s}};Straka, Buzna;2019;Preprocessing of GIS data for electric vehicle charging stations analysis and evaluation of the predictors significance;Straka.2019;;liveability ;;0;;QuAt;;
Straka, Milan and Buzna, L'ubo{\v{s}};Straka, Buzna;2019;Preprocessing of GIS data for electric vehicle charging stations analysis and evaluation of the predictors significance;Straka.2019;;percentage of working population working in the industry;;1;Residential Population;AcHo;;
Straka, Milan and Buzna, L'ubo{\v{s}};Straka, Buzna;2019;Preprocessing of GIS data for electric vehicle charging stations analysis and evaluation of the predictors significance;Straka.2019;;number of multi family houses;;1;Residential Population;AcHo;;
Straka, Milan and Buzna, L'ubo{\v{s}};Straka, Buzna;2019;Preprocessing of GIS data for electric vehicle charging stations analysis and evaluation of the predictors significance;Straka.2019;;number of cars per square kilometer;;1;Residential Population;AcHo;;
Straka, Milan and Buzna, L'ubo{\v{s}};Straka, Buzna;2019;Preprocessing of GIS data for electric vehicle charging stations analysis and evaluation of the predictors significance;Straka.2019;;number of persons of whom at least one parent was born in one of the countries in Africa, Latin America, Asia;;0;;AcHo;;
Straka, Milan and Buzna, L'ubo{\v{s}};Straka, Buzna;2019;Preprocessing of GIS data for electric vehicle charging stations analysis and evaluation of the predictors significance;Straka.2019;;number of persons in one-person households from 45 to 65 years;;1;Residential Population;AcHo;;
Straka, Milan and Buzna, L'ubo{\v{s}};Straka, Buzna;2019;Preprocessing of GIS data for electric vehicle charging stations analysis and evaluation of the predictors significance;Straka.2019;;number of one person households;;1;Residential Population;AcHo;;
Straka, Milan and Buzna, L'ubo{\v{s}};Straka, Buzna;2019;Preprocessing of GIS data for electric vehicle charging stations analysis and evaluation of the predictors significance;Straka.2019;;number of persons in one-person households from 25 to 45 years;;1;Residential Population;AcHo;;
Straka, Milan and de Falco, Pasquale and Ferruzzi, Gabriella and Proto, Daniela and {van der Poel}, Gijs and Khormali, Shahab and Buzna, Lubos;Straka et al.;2020;Predicting Popularity of Electric Vehicle Charging Infrastructure in Urban Context;Straka.2020;;strategic rollout of charging pool;;0;;;;
Straka, Milan and de Falco, Pasquale and Ferruzzi, Gabriella and Proto, Daniela and {van der Poel}, Gijs and Khormali, Shahab and Buzna, Lubos;Straka et al.;2020;Predicting Popularity of Electric Vehicle Charging Infrastructure in Urban Context;Straka.2020;;maximal charging power;;0;;;;
Straka, Milan and de Falco, Pasquale and Ferruzzi, Gabriella and Proto, Daniela and {van der Poel}, Gijs and Khormali, Shahab and Buzna, Lubos;Straka et al.;2020;Predicting Popularity of Electric Vehicle Charging Infrastructure in Urban Context;Straka.2020;;number of wholesale, shops, hotels, restaurants and catering facilities;;1;POI;AcPOI;;
Straka, Milan and de Falco, Pasquale and Ferruzzi, Gabriella and Proto, Daniela and {van der Poel}, Gijs and Khormali, Shahab and Buzna, Lubos;Straka et al.;2020;Predicting Popularity of Electric Vehicle Charging Infrastructure in Urban Context;Straka.2020;;number of charging points;;1;Other CIS;QuRed;AvCo;
Straka, Milan and de Falco, Pasquale and Ferruzzi, Gabriella and Proto, Daniela and {van der Poel}, Gijs and Khormali, Shahab and Buzna, Lubos;Straka et al.;2020;Predicting Popularity of Electric Vehicle Charging Infrastructure in Urban Context;Straka.2020;;min. distance to financial related OSM amenity ;;1;POI;AcPOI;;
Straka, Milan and de Falco, Pasquale and Ferruzzi, Gabriella and Proto, Daniela and {van der Poel}, Gijs and Khormali, Shahab and Buzna, Lubos;Straka et al.;2020;Predicting Popularity of Electric Vehicle Charging Infrastructure in Urban Context;Straka.2020;;proportion of business and industrial area;;1;Working Population;AcWo;;
Straka, Milan and de Falco, Pasquale and Ferruzzi, Gabriella and Proto, Daniela and {van der Poel}, Gijs and Khormali, Shahab and Buzna, Lubos;Straka et al.;2020;Predicting Popularity of Electric Vehicle Charging Infrastructure in Urban Context;Straka.2020;;proportion of residential area;;1;Residential Population;AcHo;;
Straka, Milan and Carvalho, Rui and {van der Poel}, Gijs and Buzna, L'ubos;Straka et al.;2021;Analysis of Energy Consumption at Slow Charging Infrastructure for Electric Vehicles;Straka.2021;;residents with high income;;1;Residential Population;AcHo;;
Straka, Milan and Carvalho, Rui and {van der Poel}, Gijs and Buzna, L'ubos;Straka et al.;2021;Analysis of Energy Consumption at Slow Charging Infrastructure for Electric Vehicles;Straka.2021;;businesses with high income;;1;Working Population;AcWo;;
Straka, Milan and Carvalho, Rui and {van der Poel}, Gijs and Buzna, L'ubos;Straka et al.;2021;Analysis of Energy Consumption at Slow Charging Infrastructure for Electric Vehicles;Straka.2021;;newly built houses;;1;Residential Population;AcHo;;
Straka, Milan and Carvalho, Rui and {van der Poel}, Gijs and Buzna, L'ubos;Straka et al.;2021;Analysis of Energy Consumption at Slow Charging Infrastructure for Electric Vehicles;Straka.2021;;residents receiving social assistance;;1;Residential Population;AcHo;;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;society;local government opinions;;0;;;;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;;construction conditions;;0;;;;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;;technical conditions;;0;;;;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;;resource distribution;;0;;;;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;effect;environmental impact;;0;;;;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;;power grid safety;;0;;;;
